"canceled_service","senior_citizen","spouse_partner","dependents","cellular_service","avg_call_mins","avg_intl_mins","internet_service","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies","contract","paperless_bill","payment_method","months_with_company","monthly_charges"
"no","no","no","yes","multiple_lines",420,102,"digital","no","yes","yes","yes","yes","yes","one_year","yes","electronic_check",53,84.6
"yes","no","no","no","single_line",339,116,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",1,69.85
"yes","no","no","yes","single_line",284,38,"fiber_optic","yes","no","no","no","yes","yes","month_to_month","yes","mailed_check",1,73.6
"yes","yes","no","no","multiple_lines",440,110,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","credit_card",9,84.4
"no","no","yes","yes","single_line",199,53,"digital","yes","yes","yes","yes","yes","yes","two_year","no","credit_card",51,85.5
"yes","no","yes","no","multiple_lines",364,95,"fiber_optic","no","no","yes","no","yes","no","month_to_month","no","mailed_check",19,89.65
"yes","no","yes","no","single_line",401,82,"fiber_optic","no","yes","no","no","yes","yes","one_year","yes","electronic_check",60,94.4
"no","no","yes","yes","multiple_lines",223,112,"digital","yes","no","no","no","no","no","month_to_month","yes","bank_draft",11,65.15
"no","no","yes","yes","multiple_lines",337,151,"fiber_optic","no","yes","yes","yes","yes","no","two_year","yes","electronic_check",70,110.2
"yes","no","no","no","single_line",288,94,"fiber_optic","no","no","yes","no","yes","yes","month_to_month","yes","electronic_check",1,74.9
"yes","no","no","no","multiple_lines",375,95,"fiber_optic","no","yes","no","yes","yes","yes","month_to_month","yes","electronic_check",4,93.5
"yes","yes","no","no","multiple_lines",408,113,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",9,74.55
"yes","no","no","no","single_line",346,64,"digital","no","no","no","no","no","yes","month_to_month","yes","mailed_check",4,45.3
"no","yes","yes","no","multiple_lines",444,124,"fiber_optic","no","no","no","no","no","yes","two_year","yes","credit_card",70,75.65
"no","no","no","no","single_line",270,110,"digital","yes","yes","yes","yes","no","no","two_year","no","credit_card",71,77.35
"yes","no","no","no","multiple_lines",397,125,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",7,73.85
"no","yes","no","no","multiple_lines",308,120,"fiber_optic","yes","no","no","no","yes","no","month_to_month","yes","credit_card",30,90.5
"yes","no","no","no","multiple_lines",514,93,"fiber_optic","yes","no","yes","no","no","yes","month_to_month","yes","electronic_check",42,105.2
"no","yes","no","no","single_line",319,136,"digital","no","no","yes","yes","yes","no","one_year","no","bank_draft",54,65.25
"yes","yes","no","no","multiple_lines",287,76,"fiber_optic","no","no","yes","no","yes","no","month_to_month","yes","electronic_check",19,79.85
"no","no","no","no","multiple_lines",449,211,"fiber_optic","yes","yes","yes","yes","no","no","month_to_month","yes","mailed_check",35,96.75
"yes","yes","no","no","single_line",415,54,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","bank_draft",1,69.5
"no","no","no","no","multiple_lines",278,80,"digital","yes","no","no","yes","yes","no","two_year","yes","credit_card",52,79.75
"yes","no","no","no","single_line",313,52,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",1,80.8
"yes","no","no","no","single_line",280,83,"digital","no","no","yes","no","no","yes","month_to_month","yes","mailed_check",1,50.45
"no","no","no","no","single_line",219,87,"digital","yes","no","no","no","no","no","month_to_month","yes","mailed_check",30,48.8
"no","no","yes","yes","multiple_lines",381,108,"digital","no","yes","yes","yes","yes","no","month_to_month","yes","electronic_check",54,86.2
"yes","yes","no","no","multiple_lines",305,145,"fiber_optic","no","no","yes","no","yes","yes","month_to_month","yes","electronic_check",4,89.2
"yes","no","yes","no","multiple_lines",417,96,"fiber_optic","no","yes","no","no","yes","yes","one_year","yes","electronic_check",56,98.25
"yes","no","yes","yes","multiple_lines",383,98,"fiber_optic","no","yes","yes","no","no","no","two_year","yes","bank_draft",71,106
"no","no","no","no","single_line",366,100,"fiber_optic","yes","yes","no","yes","yes","no","month_to_month","yes","credit_card",50,93.5
"no","no","no","yes","single_line",343,73,"digital","no","no","no","yes","no","yes","month_to_month","no","mailed_check",19,48.8
"yes","no","no","no","single_line",314,82,"digital","no","no","no","no","yes","no","month_to_month","yes","credit_card",2,46
"no","no","no","no","single_line",192,143,"digital","no","no","no","no","no","no","month_to_month","no","bank_draft",1,44.15
"no","no","no","no","single_line",334,109,"digital","no","no","no","no","yes","no","month_to_month","no","mailed_check",8,43.55
"no","no","no","yes","single_line",258,123,"digital","yes","no","no","no","yes","yes","month_to_month","no","mailed_check",1,49.9
"no","yes","yes","no","single_line",179,122,"fiber_optic","no","yes","yes","no","no","no","one_year","yes","electronic_check",57,90.65
"no","no","yes","no","multiple_lines",370,137,"digital","yes","no","no","yes","no","no","one_year","yes","bank_draft",48,60.6
"no","no","yes","yes","multiple_lines",393,102,"fiber_optic","no","yes","yes","yes","no","no","two_year","yes","bank_draft",67,111.2
"no","no","yes","no","multiple_lines",279,81,"digital","yes","no","yes","yes","yes","yes","two_year","yes","electronic_check",58,84.3
"yes","no","no","yes","single_line",498,135,"digital","yes","yes","no","yes","no","no","month_to_month","yes","electronic_check",1,60
"no","no","no","no","single_line",291,95,"digital","yes","yes","yes","yes","no","no","two_year","yes","bank_draft",72,75.1
"no","no","yes","yes","single_line",297,63,"digital","no","yes","yes","no","yes","no","two_year","yes","bank_draft",72,75.4
"no","no","no","no","multiple_lines",336,124,"fiber_optic","no","yes","no","no","no","no","month_to_month","yes","bank_draft",24,99.65
"no","no","yes","no","multiple_lines",386,90,"fiber_optic","no","yes","yes","yes","yes","yes","one_year","yes","bank_draft",71,113.15
"no","no","no","no","multiple_lines",345,142,"fiber_optic","yes","yes","yes","yes","no","yes","one_year","yes","mailed_check",61,115.1
"no","no","yes","yes","multiple_lines",289,83,"fiber_optic","yes","yes","no","yes","no","no","two_year","yes","bank_draft",72,90.35
"yes","yes","yes","no","multiple_lines",443,62,"fiber_optic","no","yes","no","no","yes","yes","month_to_month","yes","electronic_check",43,101
"yes","no","yes","yes","single_line",371,33,"fiber_optic","no","no","yes","no","yes","no","month_to_month","no","mailed_check",18,95.15
"no","no","yes","no","single_line",259,108,"digital","no","no","yes","no","yes","no","month_to_month","yes","credit_card",45,50.25
"no","no","yes","yes","single_line",324,81,"fiber_optic","no","yes","no","yes","no","no","one_year","yes","electronic_check",35,89.7
"no","yes","no","no","multiple_lines",328,133,"fiber_optic","yes","no","no","no","no","no","two_year","yes","bank_draft",66,102.4
"yes","no","no","no","multiple_lines",375,94,"fiber_optic","no","no","yes","no","yes","yes","month_to_month","yes","mailed_check",1,79.55
"yes","yes","no","no","single_line",375,98,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",2,79.6
"yes","no","no","no","single_line",245,57,"fiber_optic","no","no","yes","no","yes","yes","month_to_month","no","electronic_check",1,75.3
"yes","yes","no","no","multiple_lines",344,67,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",1,93.55
"no","no","yes","yes","single_line",482,87,"digital","yes","no","no","yes","no","no","month_to_month","no","electronic_check",24,55.15
"no","no","yes","yes","single_line",348,83,"digital","no","no","yes","yes","no","yes","two_year","yes","bank_draft",68,72.95
"yes","no","no","no","single_line",358,87,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",13,80.85
"yes","no","no","no","single_line",299,133,"digital","yes","yes","no","yes","yes","yes","month_to_month","yes","mailed_check",4,60.4
"yes","no","no","no","multiple_lines",332,87,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",15,93.35
"no","no","yes","no","multiple_lines",364,90,"fiber_optic","yes","yes","yes","yes","no","yes","two_year","no","credit_card",70,114.3
"no","no","yes","yes","multiple_lines",338,120,"fiber_optic","yes","no","yes","no","yes","no","one_year","yes","bank_draft",72,106.1
"no","no","no","no","single_line",422,123,"digital","no","yes","no","yes","no","yes","month_to_month","yes","electronic_check",12,54.3
"no","no","yes","no","multiple_lines",273,138,"fiber_optic","yes","no","no","no","yes","yes","one_year","yes","electronic_check",56,100.55
"yes","yes","yes","no","single_line",310,92,"fiber_optic","no","no","no","no","yes","no","month_to_month","no","bank_draft",17,81.5
"yes","no","no","no","single_line",311,81,"digital","no","no","yes","no","no","yes","month_to_month","yes","electronic_check",15,59.45
"yes","no","no","no","single_line",343,82,"digital","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",2,45.15
"no","no","yes","yes","multiple_lines",315,117,"fiber_optic","yes","yes","yes","yes","yes","yes","two_year","no","credit_card",61,115.1
"no","yes","no","no","multiple_lines",362,119,"fiber_optic","yes","yes","yes","no","no","yes","one_year","yes","credit_card",44,109.8
"yes","no","no","no","single_line",293,96,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",7,79.7
"yes","no","yes","yes","single_line",200,61,"digital","no","no","no","no","no","yes","month_to_month","yes","electronic_check",1,45.7
"yes","no","yes","yes","single_line",338,150,"digital","no","no","no","no","yes","yes","month_to_month","yes","bank_draft",1,44.35
"yes","yes","yes","no","single_line",358,29,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",1,69.55
"no","no","yes","no","multiple_lines",416,86,"fiber_optic","yes","yes","yes","no","yes","no","two_year","no","bank_draft",72,100.65
"yes","no","no","no","multiple_lines",291,150,"fiber_optic","no","yes","no","yes","yes","yes","one_year","yes","credit_card",64,105.65
"yes","yes","yes","no","multiple_lines",388,149,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",1,95.1
"yes","yes","no","no","multiple_lines",417,105,"fiber_optic","no","no","no","no","yes","yes","month_to_month","no","mailed_check",7,73.75
"yes","no","no","no","single_line",338,78,"fiber_optic","no","yes","yes","no","yes","yes","month_to_month","yes","credit_card",16,93.2
"no","no","yes","yes","multiple_lines",355,142,"digital","yes","no","yes","yes","no","yes","two_year","yes","credit_card",72,85.9
"yes","no","no","no","single_line",431,61,"digital","no","no","no","yes","no","yes","month_to_month","yes","bank_draft",6,49.65
"no","no","no","no","single_line",356,110,"fiber_optic","no","yes","no","no","no","no","month_to_month","yes","electronic_check",26,85.75
"no","no","yes","no","multiple_lines",472,171,"fiber_optic","yes","yes","yes","yes","yes","no","two_year","yes","bank_draft",72,97
"no","no","no","no","single_line",262,115,"digital","no","no","no","no","no","yes","month_to_month","yes","credit_card",4,44.8
"no","no","yes","yes","multiple_lines",368,133,"digital","yes","no","yes","no","no","no","two_year","no","credit_card",70,68.95
"no","yes","yes","no","multiple_lines",422,100,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",7,75.4
"yes","yes","yes","no","single_line",532,46,"digital","no","yes","no","no","yes","no","month_to_month","yes","bank_draft",30,50.4
"no","no","no","no","single_line",193,82,"digital","no","no","no","yes","yes","no","one_year","no","credit_card",14,59.1
"yes","no","no","no","single_line",382,73,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",1,81.1
"no","no","yes","no","multiple_lines",362,134,"fiber_optic","no","yes","yes","no","no","yes","one_year","yes","bank_draft",67,105.7
"no","no","no","no","single_line",433,127,"fiber_optic","no","yes","yes","no","no","yes","month_to_month","yes","electronic_check",21,90.05
"yes","no","no","no","multiple_lines",443,51,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",2,85.65
"no","no","no","no","multiple_lines",367,90,"digital","no","no","no","yes","no","yes","two_year","yes","credit_card",39,53.85
"no","no","yes","yes","single_line",295,110,"digital","yes","yes","yes","no","no","no","two_year","no","credit_card",67,81.35
"yes","no","no","no","multiple_lines",408,124,"digital","yes","no","no","no","yes","no","month_to_month","yes","mailed_check",15,55.7
"no","no","no","yes","single_line",276,79,"digital","no","no","no","yes","yes","no","month_to_month","no","mailed_check",3,70.7
"yes","yes","no","no","single_line",333,72,"digital","no","no","no","yes","yes","no","month_to_month","no","electronic_check",16,59.4
"no","no","yes","yes","multiple_lines",417,158,"fiber_optic","yes","yes","no","yes","no","no","one_year","no","electronic_check",67,89.55
"no","no","yes","no","multiple_lines",412,113,"fiber_optic","yes","yes","yes","yes","yes","no","two_year","no","mailed_check",68,118.6
"yes","no","no","no","multiple_lines",409,70,"fiber_optic","no","yes","no","no","yes","no","month_to_month","yes","electronic_check",14,100.55
"no","no","no","no","multiple_lines",347,106,"fiber_optic","yes","yes","yes","no","yes","no","month_to_month","no","bank_draft",37,91.2
"yes","no","yes","yes","multiple_lines",477,116,"fiber_optic","yes","no","yes","no","no","yes","month_to_month","no","electronic_check",17,94.4
"no","no","no","no","single_line",211,82,"fiber_optic","no","yes","no","no","yes","no","month_to_month","no","electronic_check",3,95.4
"no","no","no","no","single_line",439,98,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",2,70.15
"yes","no","no","no","single_line",370,97,"fiber_optic","no","no","yes","no","yes","yes","month_to_month","yes","mailed_check",2,86.2
"no","yes","no","no","multiple_lines",330,123,"fiber_optic","no","yes","yes","yes","no","yes","two_year","yes","bank_draft",56,99.9
"no","no","no","no","multiple_lines",377,143,"fiber_optic","no","yes","yes","yes","no","yes","one_year","yes","electronic_check",51,111.5
"no","no","no","no","multiple_lines",486,111,"fiber_optic","no","yes","yes","no","yes","no","two_year","no","credit_card",65,105.1
"no","no","yes","yes","multiple_lines",302,124,"fiber_optic","no","no","yes","no","yes","yes","month_to_month","yes","electronic_check",22,88.75
"no","no","yes","yes","multiple_lines",432,148,"digital","no","yes","no","yes","no","yes","two_year","no","electronic_check",48,79.65
"yes","no","no","no","single_line",304,90,"fiber_optic","no","no","yes","no","yes","yes","month_to_month","yes","electronic_check",2,95.85
"no","no","yes","no","multiple_lines",317,141,"digital","yes","no","no","yes","yes","no","one_year","no","credit_card",42,80.45
"no","no","yes","no","multiple_lines",390,119,"fiber_optic","no","yes","yes","yes","no","no","two_year","yes","bank_draft",65,107.65
"yes","no","no","no","multiple_lines",363,123,"fiber_optic","no","yes","no","no","no","yes","month_to_month","yes","electronic_check",18,80.65
"yes","no","yes","no","multiple_lines",333,111,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",11,74.95
"no","no","yes","no","single_line",319,85,"digital","yes","yes","yes","yes","no","yes","two_year","yes","credit_card",51,83.85
"yes","no","yes","yes","single_line",476,76,"fiber_optic","no","yes","yes","no","yes","yes","one_year","no","electronic_check",60,90.95
"yes","yes","yes","no","multiple_lines",479,114,"fiber_optic","no","yes","yes","yes","no","no","one_year","yes","electronic_check",66,110.85
"no","no","yes","no","multiple_lines",364,142,"digital","yes","yes","no","yes","no","no","one_year","yes","credit_card",55,66.05
"yes","yes","yes","no","single_line",418,129,"fiber_optic","no","no","no","yes","no","no","month_to_month","yes","mailed_check",3,83.9
"yes","no","no","no","multiple_lines",309,148,"digital","no","yes","no","yes","no","yes","month_to_month","yes","credit_card",15,58.6
"yes","no","no","no","single_line",409,133,"fiber_optic","yes","no","no","no","yes","no","month_to_month","yes","electronic_check",16,94.25
"yes","no","no","no","multiple_lines",433,120,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","mailed_check",15,76
"no","no","yes","yes","multiple_lines",383,124,"digital","yes","no","no","yes","yes","no","two_year","no","bank_draft",54,60
"no","no","yes","yes","single_line",337,65,"digital","yes","no","no","no","yes","no","two_year","yes","electronic_check",66,59.75
"yes","no","no","no","multiple_lines",414,77,"fiber_optic","no","yes","yes","no","yes","no","month_to_month","yes","electronic_check",34,106.35
"no","no","yes","no","single_line",301,67,"fiber_optic","yes","no","no","no","yes","no","month_to_month","no","electronic_check",18,74.8
"no","no","no","no","single_line",423,115,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",12,81.45
"no","no","yes","no","multiple_lines",410,105,"digital","no","yes","no","yes","no","yes","two_year","yes","credit_card",58,59.9
"no","no","yes","no","single_line",338,109,"fiber_optic","yes","no","no","no","no","no","month_to_month","yes","bank_draft",32,75.5
"no","no","yes","no","multiple_lines",324,185,"fiber_optic","yes","yes","yes","yes","yes","yes","two_year","no","credit_card",72,115.8
"no","no","no","no","multiple_lines",344,62,"fiber_optic","no","yes","yes","no","no","yes","one_year","yes","electronic_check",56,106.8
"no","no","no","no","single_line",311,61,"digital","no","no","no","no","yes","no","month_to_month","yes","credit_card",10,45.8
"no","yes","yes","no","multiple_lines",300,173,"fiber_optic","yes","yes","no","no","yes","yes","month_to_month","no","bank_draft",67,83.85
"yes","yes","yes","yes","single_line",333,71,"fiber_optic","yes","no","no","yes","yes","yes","month_to_month","yes","mailed_check",3,88.3
"no","yes","yes","yes","multiple_lines",417,181,"fiber_optic","yes","yes","no","no","no","no","month_to_month","yes","electronic_check",65,85.75
"no","yes","no","no","single_line",267,97,"fiber_optic","no","no","no","no","no","no","month_to_month","no","electronic_check",32,90.95
"no","no","yes","yes","multiple_lines",371,136,"fiber_optic","no","no","yes","no","yes","no","one_year","no","electronic_check",39,100
"no","no","yes","yes","single_line",332,53,"fiber_optic","yes","no","yes","yes","no","no","two_year","yes","credit_card",72,104.9
"yes","no","no","no","multiple_lines",408,108,"fiber_optic","no","yes","no","no","yes","yes","month_to_month","yes","electronic_check",7,99.8
"yes","no","yes","yes","multiple_lines",467,91,"fiber_optic","no","yes","no","no","no","yes","month_to_month","yes","electronic_check",61,99.15
"yes","no","yes","no","multiple_lines",398,103,"fiber_optic","no","yes","no","no","no","yes","month_to_month","yes","electronic_check",40,101.3
"yes","no","no","no","multiple_lines",471,62,"fiber_optic","no","no","yes","yes","no","no","month_to_month","yes","mailed_check",23,104.05
"no","no","yes","yes","multiple_lines",340,139,"digital","yes","yes","no","no","yes","no","month_to_month","no","electronic_check",61,59.8
"no","no","no","no","multiple_lines",379,152,"digital","no","no","yes","yes","no","no","one_year","yes","mailed_check",40,80.75
"yes","no","no","no","single_line",321,101,"digital","no","no","no","no","yes","yes","month_to_month","no","mailed_check",4,45.65
"no","no","yes","no","single_line",221,49,"digital","no","no","yes","no","no","no","month_to_month","yes","credit_card",10,67.8
"yes","no","no","no","multiple_lines",427,36,"fiber_optic","no","yes","no","no","no","yes","month_to_month","yes","credit_card",45,100.85
"no","no","no","no","multiple_lines",310,162,"digital","no","yes","no","no","yes","yes","one_year","yes","mailed_check",14,54.25
"no","no","yes","no","multiple_lines",323,120,"fiber_optic","no","yes","yes","no","yes","yes","two_year","yes","bank_draft",72,106.3
"no","no","yes","no","single_line",338,122,"fiber_optic","no","yes","no","no","no","yes","one_year","yes","electronic_check",63,96
"no","no","yes","no","single_line",242,123,"digital","yes","no","no","yes","no","no","month_to_month","no","mailed_check",24,53.6
"yes","no","no","no","multiple_lines",501,92,"fiber_optic","yes","no","no","no","no","yes","month_to_month","no","mailed_check",13,98.15
"yes","no","yes","yes","multiple_lines",421,96,"digital","no","no","no","yes","yes","yes","month_to_month","yes","electronic_check",11,66.35
"no","no","yes","no","multiple_lines",388,126,"fiber_optic","no","no","no","no","yes","yes","month_to_month","no","electronic_check",17,92.6
"yes","no","no","no","multiple_lines",534,127,"fiber_optic","yes","yes","yes","yes","yes","yes","one_year","yes","bank_draft",67,118.35
"no","yes","yes","no","multiple_lines",437,129,"fiber_optic","yes","no","no","no","no","yes","month_to_month","yes","electronic_check",70,90.85
"yes","yes","no","no","multiple_lines",348,47,"digital","no","no","no","no","no","yes","month_to_month","no","mailed_check",1,50.55
"yes","no","no","no","single_line",346,97,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",4,81
"no","no","no","no","multiple_lines",377,116,"digital","no","no","yes","yes","no","yes","two_year","yes","credit_card",42,78.45
"yes","no","no","no","single_line",333,49,"digital","yes","no","yes","yes","yes","no","one_year","yes","credit_card",48,60.35
"yes","no","no","no","multiple_lines",469,105,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",21,97.35
"yes","no","no","no","multiple_lines",340,119,"fiber_optic","no","no","yes","no","yes","no","month_to_month","yes","electronic_check",7,90.45
"no","no","no","no","single_line",217,105,"fiber_optic","no","yes","no","no","no","no","month_to_month","yes","electronic_check",2,74.75
"yes","no","yes","yes","multiple_lines",339,95,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",17,85.45
"no","no","yes","no","single_line",276,116,"digital","yes","yes","no","yes","yes","no","two_year","no","bank_draft",60,59.85
"yes","no","no","no","single_line",240,73,"digital","yes","no","no","yes","no","yes","month_to_month","no","mailed_check",12,56.65
"no","no","no","no","single_line",397,134,"fiber_optic","no","no","no","no","no","no","month_to_month","no","credit_card",20,70.55
"yes","no","no","no","multiple_lines",423,113,"fiber_optic","no","yes","yes","no","no","yes","one_year","yes","bank_draft",58,103.25
"no","yes","yes","no","multiple_lines",366,115,"fiber_optic","yes","yes","yes","no","no","no","month_to_month","yes","electronic_check",62,89.1
"yes","no","yes","yes","multiple_lines",380,86,"fiber_optic","yes","no","yes","no","yes","yes","month_to_month","no","credit_card",50,105.95
"no","no","yes","yes","multiple_lines",333,67,"fiber_optic","yes","yes","no","no","yes","no","month_to_month","yes","electronic_check",55,85.1
"yes","no","no","no","single_line",387,114,"digital","no","no","yes","no","yes","yes","month_to_month","yes","electronic_check",5,70.05
"yes","yes","yes","no","multiple_lines",402,97,"fiber_optic","no","no","yes","no","yes","yes","month_to_month","yes","electronic_check",7,101.95
"yes","yes","no","no","single_line",287,74,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",2,69.6
"no","no","no","no","single_line",336,115,"digital","yes","yes","yes","yes","no","no","two_year","yes","credit_card",58,64.9
"no","yes","no","no","single_line",229,74,"digital","no","no","no","no","yes","yes","month_to_month","no","electronic_check",2,43.95
"no","no","yes","yes","single_line",376,101,"digital","yes","yes","no","yes","yes","no","one_year","no","mailed_check",67,60.05
"no","yes","yes","no","multiple_lines",376,122,"fiber_optic","yes","yes","yes","yes","yes","yes","two_year","yes","bank_draft",72,114.85
"no","no","no","yes","single_line",317,115,"fiber_optic","yes","yes","yes","no","yes","no","one_year","no","electronic_check",53,95.95
"no","no","yes","no","single_line",402,107,"digital","yes","yes","no","yes","no","yes","one_year","no","credit_card",63,70.8
"no","no","no","no","multiple_lines",213,161,"fiber_optic","yes","yes","yes","no","yes","yes","one_year","yes","electronic_check",62,92.05
"yes","no","no","no","single_line",275,78,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",1,79.95
"yes","no","no","no","single_line",415,83,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",1,89.1
"yes","no","no","yes","multiple_lines",411,98,"fiber_optic","no","yes","yes","no","yes","no","month_to_month","no","bank_draft",4,84.05
"yes","no","no","no","multiple_lines",455,125,"fiber_optic","no","no","yes","no","no","yes","month_to_month","yes","mailed_check",24,89.85
"no","no","no","no","single_line",223,66,"digital","no","no","no","no","yes","no","month_to_month","yes","credit_card",5,44.05
"no","no","no","yes","multiple_lines",329,139,"digital","yes","yes","no","yes","no","no","month_to_month","yes","mailed_check",19,75.9
"no","yes","no","yes","multiple_lines",385,134,"fiber_optic","no","no","no","yes","no","no","month_to_month","yes","electronic_check",30,101.3
"yes","yes","no","no","single_line",296,87,"fiber_optic","no","no","no","no","yes","no","month_to_month","no","bank_draft",11,89.7
"yes","yes","no","no","multiple_lines",357,103,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","electronic_check",3,77
"no","no","yes","no","multiple_lines",369,115,"fiber_optic","yes","no","yes","yes","no","no","two_year","yes","bank_draft",72,98.2
"no","no","yes","no","multiple_lines",314,134,"fiber_optic","no","no","yes","no","yes","no","month_to_month","no","mailed_check",23,90.15
"no","no","yes","no","multiple_lines",345,115,"fiber_optic","yes","yes","yes","no","no","yes","one_year","no","credit_card",67,109.9
"no","yes","no","no","multiple_lines",328,152,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",1,72.1
"yes","no","no","no","multiple_lines",455,103,"fiber_optic","no","yes","yes","no","yes","no","month_to_month","yes","electronic_check",5,85.3
"no","yes","no","no","multiple_lines",337,129,"fiber_optic","yes","no","no","no","yes","yes","month_to_month","yes","electronic_check",35,99.05
"yes","yes","yes","yes","multiple_lines",392,94,"fiber_optic","no","yes","yes","yes","yes","no","one_year","yes","electronic_check",41,111.95
"yes","yes","yes","no","multiple_lines",408,66,"fiber_optic","no","no","yes","no","yes","no","month_to_month","yes","credit_card",17,100.45
"no","no","no","no","single_line",233,108,"digital","yes","no","no","yes","yes","yes","month_to_month","no","mailed_check",27,53.45
"no","no","yes","yes","single_line",364,112,"digital","no","no","yes","no","no","no","month_to_month","yes","mailed_check",39,59.85
"no","yes","yes","no","single_line",273,170,"digital","yes","no","no","no","no","yes","month_to_month","no","bank_draft",8,60.9
"no","no","no","no","multiple_lines",385,128,"digital","no","no","no","no","yes","no","month_to_month","no","electronic_check",4,50.7
"no","no","no","no","multiple_lines",326,168,"fiber_optic","no","yes","yes","no","no","yes","month_to_month","yes","electronic_check",52,103.05
"no","yes","yes","no","single_line",257,96,"digital","no","yes","no","no","yes","no","month_to_month","yes","electronic_check",20,60
"yes","no","no","yes","single_line",285,89,"fiber_optic","no","yes","no","no","yes","no","month_to_month","yes","electronic_check",1,75.35
"no","no","no","no","single_line",388,122,"digital","yes","yes","yes","yes","no","yes","one_year","yes","mailed_check",36,75.55
"yes","no","no","no","multiple_lines",351,69,"fiber_optic","no","yes","no","no","no","yes","month_to_month","yes","electronic_check",42,101.75
"yes","no","yes","yes","multiple_lines",321,126,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",4,85.95
"yes","yes","yes","yes","multiple_lines",371,109,"fiber_optic","no","no","yes","no","yes","yes","month_to_month","yes","credit_card",66,99.5
"no","no","no","no","single_line",391,102,"digital","yes","yes","yes","yes","yes","no","one_year","yes","mailed_check",36,76.35
"no","no","no","no","multiple_lines",383,161,"fiber_optic","no","yes","no","no","no","no","month_to_month","no","credit_card",66,89.4
"yes","no","no","no","multiple_lines",425,92,"fiber_optic","no","no","yes","no","no","no","month_to_month","no","credit_card",51,80
"yes","yes","yes","no","multiple_lines",374,82,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","mailed_check",2,86.85
"no","no","yes","yes","single_line",286,134,"fiber_optic","no","yes","yes","no","yes","no","month_to_month","yes","electronic_check",34,89.85
"yes","no","yes","no","multiple_lines",485,123,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",7,86.5
"no","no","no","no","single_line",255,93,"digital","yes","no","no","yes","no","no","one_year","no","bank_draft",26,75
"no","no","yes","no","multiple_lines",384,183,"fiber_optic","no","no","no","no","yes","yes","month_to_month","no","credit_card",27,95
"no","no","yes","no","multiple_lines",488,132,"digital","no","no","no","no","yes","no","month_to_month","yes","credit_card",31,59.05
"no","no","no","no","multiple_lines",413,146,"fiber_optic","no","yes","yes","yes","no","no","month_to_month","yes","electronic_check",59,111.35
"no","no","no","yes","multiple_lines",314,128,"digital","yes","yes","yes","yes","no","no","two_year","yes","credit_card",69,79.45
"no","no","no","no","single_line",245,112,"digital","yes","yes","yes","yes","no","no","one_year","no","bank_draft",36,85.85
"yes","yes","no","no","multiple_lines",283,83,"fiber_optic","no","yes","yes","no","no","yes","month_to_month","yes","electronic_check",23,106.4
"yes","yes","no","no","multiple_lines",456,98,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",4,95.45
"no","no","no","no","multiple_lines",326,169,"fiber_optic","yes","no","yes","yes","yes","yes","two_year","no","credit_card",64,99.25
"no","no","yes","yes","multiple_lines",388,150,"fiber_optic","yes","yes","no","no","no","no","month_to_month","yes","electronic_check",45,105.15
"yes","no","yes","yes","single_line",277,105,"digital","no","no","yes","no","no","yes","month_to_month","no","electronic_check",7,48.7
"no","yes","yes","no","multiple_lines",388,160,"fiber_optic","no","yes","yes","no","yes","no","one_year","yes","credit_card",72,105.75
